# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 299     6750  2.00   -0.322   -0.014    0.261    0.468   -0.214    0.073    0.269    0.462
 300     6750  2.50   -0.342   -0.041    0.253    0.468   -0.254    0.054    0.261    0.462
 301     6750  3.00   -0.359   -0.069    0.242    0.467   -0.293    0.032    0.250    0.460
 302     6750  3.50   -0.372   -0.097    0.229    0.464   -0.333    0.009    0.238    0.456
 303     6750  4.00   -0.382   -0.123    0.217    0.460   -0.370   -0.012    0.226    0.452
 304     6750  4.50   -0.388   -0.145    0.206    0.457   -0.403   -0.030    0.216    0.449
 305     6750  5.00   -0.391   -0.161    0.200    0.457   -0.430   -0.043    0.210    0.448
 306     7000  0.50   -0.136    0.070    0.236    0.393   -0.034    0.117    0.241    0.389
 307     7000  1.00   -0.161    0.056    0.235    0.397   -0.054    0.107    0.241    0.392
 308     7000  1.50   -0.194    0.038    0.236    0.403   -0.087    0.097    0.242    0.398
 309     7000  2.00   -0.237    0.017    0.240    0.412   -0.135    0.087    0.246    0.407
 310     7000  2.50   -0.270   -0.009    0.236    0.417   -0.183    0.070    0.242    0.411
 311     7000  3.00   -0.295   -0.038    0.226    0.418   -0.228    0.048    0.233    0.412
 312     7000  3.50   -0.315   -0.069    0.214    0.416   -0.272    0.024    0.221    0.409
 313     7000  4.00   -0.329   -0.099    0.200    0.413   -0.315   -0.000    0.208    0.405
 314     7000  4.50   -0.339   -0.126    0.186    0.409   -0.354   -0.023    0.195    0.402
 315     7000  5.00   -0.343   -0.149    0.176    0.407   -0.387   -0.041    0.185    0.399
 316     7250  0.50   -0.075    0.082    0.213    0.342    0.003    0.119    0.216    0.338
 317     7250  1.00   -0.088    0.073    0.209    0.341   -0.001    0.110    0.213    0.337
 318     7250  1.50   -0.120    0.059    0.209    0.346   -0.026    0.102    0.214    0.342
 319     7250  2.00   -0.157    0.040    0.210    0.352   -0.063    0.091    0.215    0.348
 320     7250  2.50   -0.203    0.017    0.212    0.361   -0.117    0.079    0.218    0.357
 321     7250  3.00   -0.238   -0.012    0.207    0.365   -0.169    0.060    0.213    0.361
 322     7250  3.50   -0.265   -0.044    0.196    0.366   -0.218    0.036    0.202    0.360
 323     7250  4.00   -0.286   -0.077    0.181    0.364   -0.265    0.009    0.188    0.358
 324     7250  4.50   -0.300   -0.108    0.166    0.361   -0.310   -0.016    0.174    0.354
 325     7250  5.00   -0.307   -0.137    0.153    0.358   -0.349   -0.040    0.161    0.351
 326     7500  0.50   -0.060    0.074    0.196    0.303   -0.008    0.112    0.197    0.299
 327     7500  1.00   -0.034    0.078    0.180    0.287    0.031    0.105    0.183    0.284
 328     7500  1.50   -0.061    0.069    0.181    0.290    0.015    0.099    0.184    0.287
 329     7500  2.00   -0.097    0.054    0.181    0.295   -0.015    0.091    0.185    0.292
 330     7500  2.50   -0.139    0.034    0.182    0.302   -0.058    0.079    0.186    0.298
 331     7500  3.00   -0.185    0.008    0.182    0.310   -0.115    0.065    0.186    0.306
 332     7500  3.50   -0.221   -0.023    0.174    0.314   -0.169    0.043    0.179    0.309
 333     7500  4.00   -0.248   -0.057    0.161    0.314   -0.221    0.017    0.167    0.309
 334     7500  4.50   -0.268   -0.092    0.146    0.312   -0.270   -0.011    0.152    0.306
 335     7500  5.00   -0.279   -0.125    0.130    0.309   -0.316   -0.038    0.137    0.302
 336     7750  1.00   -0.005    0.069    0.150    0.237    0.036    0.090    0.151    0.234
 337     7750  1.50   -0.017    0.067    0.148    0.234    0.039    0.088    0.150    0.232
 338     7750  2.00   -0.051    0.058    0.150    0.238    0.016    0.083    0.152    0.236
 339     7750  2.50   -0.091    0.042    0.150    0.244   -0.019    0.074    0.153    0.241
 340     7750  3.00   -0.134    0.019    0.149    0.250   -0.066    0.061    0.153    0.247
 341     7750  3.50   -0.180   -0.008    0.148    0.258   -0.125    0.045    0.152    0.255
 342     7750  4.00   -0.215   -0.042    0.138    0.262   -0.182    0.021    0.143    0.257
 343     7750  4.50   -0.241   -0.078    0.124    0.262   -0.235   -0.007    0.129    0.257
 344     7750  5.00   -0.257   -0.114    0.107    0.260   -0.286   -0.036    0.113    0.254
 345     8000  1.00   -0.007    0.039    0.117    0.190    0.005    0.061    0.117    0.188
 346     8000  1.50    0.009    0.053    0.111    0.179    0.042    0.066    0.112    0.178
 347     8000  2.00   -0.016    0.049    0.113    0.181    0.032    0.065    0.114    0.179
 348     8000  2.50   -0.054    0.038    0.115    0.186    0.004    0.060    0.117    0.184
 349     8000  3.00   -0.096    0.021    0.115    0.191   -0.036    0.050    0.117    0.189
 350     8000  3.50   -0.142   -0.002    0.114    0.198   -0.087    0.037    0.117    0.196
 351     8000  4.00   -0.185   -0.032    0.110    0.206   -0.147    0.019    0.114    0.203
 352     8000  4.50   -0.217   -0.068    0.099    0.209   -0.205   -0.007    0.103    0.205
 353     8000  5.00   -0.240   -0.105    0.082    0.209   -0.259   -0.037    0.087    0.204
 354     8250  1.00   -0.034   -0.016    0.076    0.144   -0.057    0.011    0.074    0.141
 355     8250  1.50    0.015    0.024    0.070    0.125    0.023    0.034    0.070    0.123
 356     8250  2.00    0.003    0.029    0.071    0.123    0.029    0.038    0.072    0.122
 357     8250  2.50   -0.030    0.024    0.075    0.126    0.010    0.037    0.076    0.125
 358     8250  3.00   -0.071    0.012    0.077    0.132   -0.022    0.032    0.078    0.131
 359     8250  3.50   -0.114   -0.007    0.076    0.138   -0.064    0.022    0.078    0.136
 360     8250  4.00   -0.159   -0.031    0.075    0.147   -0.119    0.008    0.077    0.144
 361     8250  4.50   -0.197   -0.062    0.069    0.154   -0.179   -0.012    0.073    0.151
 362     8250  5.00   -0.226   -0.099    0.056    0.157   -0.236   -0.040    0.060    0.153
 363     8500  1.50    0.004   -0.017    0.026    0.071   -0.014   -0.008    0.025    0.069
 364     8500  2.00    0.006   -0.003    0.026    0.065    0.010    0.001    0.025    0.063
 365     8500  2.50   -0.020   -0.003    0.029    0.066    0.001    0.004    0.029    0.065
 366     8500  3.00   -0.057   -0.010    0.033    0.071   -0.024    0.003    0.033    0.070
 367     8500  3.50   -0.098   -0.022    0.034    0.077   -0.059   -0.003    0.035    0.076
 368     8500  4.00   -0.140   -0.041    0.033    0.085   -0.104   -0.013    0.035    0.083
 369     8500  4.50   -0.181   -0.066    0.033    0.095   -0.160   -0.026    0.035    0.092
 370     8500  5.00   -0.214   -0.099    0.025    0.102   -0.219   -0.048    0.029    0.099
 371     8750  1.50   -0.016   -0.066   -0.023    0.017   -0.061   -0.057   -0.025    0.015
 372     8750  2.00   -0.003   -0.043   -0.023    0.007   -0.021   -0.042   -0.024    0.006
 373     8750  2.50   -0.021   -0.038   -0.020    0.005   -0.020   -0.036   -0.021    0.005
 374     8750  3.00   -0.054   -0.041   -0.016    0.008   -0.038   -0.035   -0.016    0.008
 375     8750  3.50   -0.093   -0.049   -0.013    0.014   -0.067   -0.036   -0.012    0.014
 376     8750  4.00   -0.133   -0.062   -0.012    0.022   -0.106   -0.042   -0.010    0.021
 377     8750  4.50   -0.174   -0.082   -0.013    0.031   -0.154   -0.052   -0.010    0.029
 378     8750  5.00   -0.208   -0.106   -0.012    0.044   -0.208   -0.064   -0.009    0.041
 379     9000  1.50   -0.041   -0.120   -0.075   -0.040   -0.114   -0.111   -0.077   -0.042
 380     9000  2.00   -0.019   -0.088   -0.073   -0.051   -0.060   -0.088   -0.074   -0.052
